zip,city,county,state,pop,jobs
08065,Palmyra,Burlington,NJ,7189,393
19034,Fort Washington,Montgomery,PA,5852,393
02482,Wellesley,Norfolk,MA,10855,393
94621,Oakland,Alameda,CA,35035,393
22310,Alexandria,Fairfax,VI,32380,393
02460,Newtonville,Middlesex,MA,9773,393
92691,Mission Viejo,Orange,CA,50839,392
98367,Port Orchard,Kitsap,WA,29826,392
60482,Worth,Cook,IL,10849,392
02453,Waltham,Middlesex,MA,29505,392
60192,Schaumburg,Cook,IL,15467,391
18954,Richboro,Bucks,PA,9453,391
75226,Dallas,Dallas,TX,4579,391
02481,Wellesley Hills,Norfolk,MA,16140,391
02493,Weston,Middlesex,MA,12112,391
22314,Alexandria,Alexandria City,VI,34378,390
20854,Potomac,Montgomery,MD,49189,390
80229,Denver,Adams,CO,55532,390
60630,Chicago,Cook,IL,56433,390
60608,Chicago,Cook,IL,80059,390
19137,Philadelphia,Philadelphia,PA,8347,390
94603,Oakland,Alameda,CA,35862,390
02459,Newton Center,Middlesex,MA,19012,390
19067,Morrisville,Bucks,PA,52689,389
94579,San Leandro,Alameda,CA,21883,389
20902,Silver Spring,Montgomery,MD,52908,389
19021,Croydon,Bucks,PA,10063,389
75082,Richardson,Dallas,TX,23483,389
75042,Garland,Dallas,TX,39183,389
75024,Plano,Collin,TX,43551,389
60453,Oak Lawn,Cook,IL,55966,389
02458,Newton,Middlesex,MA,12778,389
02472,Watertown,Middlesex,MA,35518,389
02451,Waltham,Middlesex,MA,18246,389
91764,Ontario,San Bernardino,CA,56677,388
22150,Springfield,Fairfax,VI,28905,388
80260,Denver,Adams,CO,34837,388
80030,Westminster,Adams,CO,15861,388
18940,Newtown,Bucks,PA,28915,388
60188,Carol Stream,Du Page,IL,42214,388
20708,Laurel,Prince Georges,MD,27843,388
76022,Bedford,Tarrant,TX,13495,388
75223,Dallas,Dallas,TX,14941,388
02445,Brookline,Norfolk,MA,21074,388
02134,Allston,Suffolk,MA,19907,388
92692,Mission Viejo,Orange,CA,46800,387
80640,Henderson,Adams,CO,12991,387
60456,Hometown,Cook,IL,4272,387
60439,Lemont,Du Page,IL,23435,387
19036,Glenolden,Delaware,PA,12894,387
19025,Dresher,Montgomery,PA,5861,387
02494,Needham Heights,Norfolk,MA,10399,387
60195,Schaumburg,Cook,IL,5020,386
